ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR,ï»¿ANO_BO
2022.0,1,jan/22,01/01/2022 01.31,01/01/2022 02.19,01/01/2022,0.03,DE MADRUGADA,01/01/2022,01/01/2022 01.31,Desconhecida,Não,NÂO INFORMADO,RUA BARTOLOMEU B DA SILVA,10.0,MARTINS DE SA,CARAGUATATUBA,SP,-23.616563,-45.39142311,Via pública,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.CARAGUATATUBA,DEL.POL.CARAGUATATUBA,Título I - Pessoa (arts. 121 a 154),Homicídio simples (art. 121),Tentado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,OUTROS,
2022.0,1,jan/22,01/01/2022 01.31,01/01/2022 02.19,01/01/2022,0.03,DE MADRUGADA,01/01/2022,01/01/2022 01.31,Desconhecida,Não,NÂO INFORMADO,RUA BARTOLOMEU B DA SILVA,10.0,MARTINS DE SA,CARAGUATATUBA,SP,-23.616563,-45.39142311,Via pública,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.CARAGUATATUBA,DEL.POL.CARAGUATATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,OUTROS,
2022.0,9,set/22,01/01/2022 10.28,01/01/2022 11.45,31/12/2021,14.2,A TARDE,01/01/2022,01/01/2022 10.28,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,PEREQUE-ACU,UBATUBA,SP,-23.17898976,-45.649605735,Residência,BO PARA INVESTIGAÇÃO,DEL.POL.UBATUBA,DEL.POL.UBATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Apple,
2022.0,9,set/22,01/01/2022 10.28,01/01/2022 11.45,31/12/2021,14.2,A TARDE,01/01/2022,01/01/2022 10.28,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,PEREQUE-ACU,UBATUBA,SP,-23.17898976,-45.649605735,Residência,BO PARA INVESTIGAÇÃO,DEL.POL.UBATUBA,DEL.POL.UBATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Motorola,
2022.0,2,fev/22,01/01/2022 14.09,01/01/2022 14.55,01/01/2022,2.0,DE MADRUGADA,01/01/2022,01/01/2022 14.09,Desconhecida,Não,NÂO INFORMADO,TRAVESSA das acacias,100.0,BOICUCANGA,S.SEBASTIAO,SP,-23.69,-45.61688105,Via pública,ENCAMINHAMENTO DP ÁREA DO FATO,37º D.P. CAMPO LIMPO,02º D.P. S. SEBASTIAO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Motorola,
2022.0,1999,1999/2022,01/01/2022 18.24,01/01/2022 18.24,01/01/2022,3.0,DE MADRUGADA,01/01/2022,01/01/2022 18.24,Desconhecida,Não,NÂO INFORMADO,AVENIDA PRAIA DO SUL,1.0,ESTUFA II,UBATUBA,SP,-23.45692761,-45.07082762,Outros,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.UBATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,APPLE,
2022.0,2022,2022/2022,01/01/2022 18.25,01/01/2022 18.45,01/01/2022,14.2,EM HORA INCERTA,01/01/2022,01/01/2022 18.25,Desconhecida,Não,NÂO INFORMADO,AVENIDA escultor e pintor da motta,510.0,ITAGUA,UBATUBA,SP,-23.45368486,-45.07139963,Via pública,APRECIAÇÃO DO DELEGADO TITULAR,DELEGACIA ELETRONICA,DEL.POL.UBATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,APPLE,
2022.0,2712,2712/2022,01/01/2022 21.46,01/01/2022 21.46,31/12/2021,11.3,PELA MANHÃ,01/01/2022,01/01/2022 21.46,Desconhecida,Não,NÂO INFORMADO,RUA MATO GROSSO,248.0,AREAO,TAUBATE,SP,-23.00461101,-45.55113314,Via Pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P. TAUBATE,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,SAMSUNG,
2022.0,2594,2594/2022,01/01/2022 21.06,01/01/2022 22.19,01/01/2022,3.3,DE MADRUGADA,01/01/2022,01/01/2022 21.06,Desconhecida,Não,NÂO INFORMADO,RUA DOM JERÔNIMO DE ATAÍDE,144.0,CENTRO,CARAGUATATUBA,SP,-23.6274729,-45.3846746,Via pública,APRECIAÇÃO DO DELEGADO TITULAR,DELEGACIA ELETRONICA,DEL.POL.CARAGUATATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,XIAOMI,
2022.0,3558,3558/2022,02/01/2022 09.59,02/01/2022 09.59,02/01/2022,7.0,PELA MANHÃ,02/01/2022,02/01/2022 09.59,Desconhecida,Não,NÂO INFORMADO,RUA JOSÉ ADOLFO MARCONDES DA SILVA,46.0,JD RAFAEL,CACAPAVA,SP,-23.09246723,-45.7096396,Via Pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.CAÇAPAVA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,SAMSUNG,
2022.0,3704,3704/2022,02/01/2022 10.44,02/01/2022 10.44,31/12/2021,23.3,A NOITE,02/01/2022,02/01/2022 10.44,Desconhecida,Não,NÂO INFORMADO,AVENIDA LEOVIGILDO DIAS VIEIRA,1116.0,ITAGUÁ,UBATUBA,SP,-23.4550208,-45.0618319,Via Pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.UBATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,APPLE,
